brand_name,snack_name,snack_url,snack_taste_test,snack_smell_test,amazon_link
Bachman (26) ,Bachman Butter Stix Pretzel Snack ,https://www.taquitos.net/snacks.php?snack_code=1727,"Taste test: These don't taste a whole lot different than the regular Pretzel Stix, but there may be a slight amount of butter in the taste.",Smell test: Smells like pretzels. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Butter Twist Brick Oven Flame Baked Pretzels ,https://www.taquitos.net/pretzels/Bachman-Butter-Twist,"Taste test: These knotted pretzels were very large and fairly thick, with lots of salt crystals on their surfaces.","Smell test: Strong pretzel smell, somewhat buttery. ","https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Cheese Stix Pretzel Snack ,https://www.taquitos.net/snacks.php?snack_code=1729,"Taste test: These are shaped like pretzel sticks, but they've used the dough from Cheez-Its or Cheese Nips or something along those lines to make them, then added salt just as with regular pretzels.",Smell test: Smells like pretzels. ,"https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Corn Chips ,https://www.taquitos.net/snacks.php?snack_code=1087,Taste test: These are Bachman's version of Fritos.,Smell test: Smells like corn chips.  ,https://www.amazon.com/b/?_encoding=UTF8&camp=1789&creative=9325&linkCode=ur2&node=16322721&pf_rd_i=16310101&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1711856062&pf_rd_r=0MVHX4BGPRAG0E9R6B5H&pf_rd_s=merchandised-search-3&pf_rd_t=101&tag=taquitosnet-sn-1-20
Bachman (26) ,Bachman Country Style Honey Mustard and Onion Sourdough Pretzel Pieces ,https://www.taquitos.net/snacks.php?snack_code=169,Taste test: These are really good.,"Smell test: These smell great. You can smell all three flavors — honey, mustard and even the sweet onion. Nice. ","https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
Bachman (26) ,Bachman Golden Crisp All Natural Potato Chips ,https://www.taquitos.net/snacks.php?snack_code=1934,"Taste test: These are good conventional potato chips, very crisp with a rich potato flavor and not very much salt.",Smell test: Regular potato chips smell. ,https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
Bachman (26) ,Bachman Golden Ridges Bar-B-Q Potato chips ,https://www.taquitos.net/snacks.php?snack_code=2170,Taste test: These narrow-rippled chips were very good.,"Smell test: Nice barbecue smell. Much different than most barbecue chips, not sweet at all. ",https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
Bachman (26) ,Bachman Golden Ridges Potato Chips ,https://www.taquitos.net/snacks.php?snack_code=2378,"Taste test: These narrow-rippled potato chips were crisp with a soft crunch, on the salty side, and had lots of potato taste.",Smell test: Not much. ,https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
Bachman (26) ,Bachman Golden Ridges Scorchers Red Hot Potato Chips ,https://www.taquitos.net/snacks.php?snack_code=170,Taste test: These chips sure look hot.,Smell test: Smell like barbecue chips but with more intense flavor. ,https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
Bachman (26) ,Bachman Golden Ridges Sour Cream & Onion Potato Chips ,https://www.taquitos.net/snacks.php?snack_code=732,Taste test: These are average sour cream and onion chips.,Smell test: Kind of oniony. ,https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
Bachman (26) ,Bachman Golden Ridges Vinegar Potato Chips ,https://www.taquitos.net/snacks.php?snack_code=173,"Taste test: Very vinegary at first, but then the potato flavor comes through.",Smell test: Vinegary. ,https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
